Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random
1792,7,444,1,36,966,960
1555,8,459,4,43,975,423
1998,9,440,4,47,976,113
1999,10,51,3,294,979,934
1249,11,964,366,22,990,451
1378,235,1811,5,103,998,213
592,14,1812,9,108,1013,7
951,1478,26,7,399,1019,308
182,1479,25,6,156,1031,881
73,1480,36,2,1144,1034,215
1811,542,11,901,219,1036,681
7,537,52,8,14,1046,406
777,309,70,1,236,1075,587
1941,198,43,6,74,1082,985
1698,1058,25,4,935,1115,226
371,1059,45,139,358,1120,853
1946,1060,1393,1,175,1121,268
1321,1061,576,8,85,1130,659
19,629,182,1,24,1160,740
362,628,146,3,1191,1179,912
2000,627,729,786,14,1188,1063
2001,573,693,210,178,1210,1085
2002,561,1394,425,82,1251,51
2003,560,270,238,175,1257,609
946,559,30,568,16,1260,736
1949,557,676,62,184,1262,174
1467,556,1395,142,59,1337,380
466,553,770,5,177,1339,545
32,548,616,2,95,1343,818
52,547,502,1,142,1362,729
1815,546,513,1,174,1364,1
491,502,418,2,38,1393,296
1489,437,347,262,92,1403,916
1818,274,843,7,778,1415,982
1819,16,1396,612,62,1426,463
2004,2,750,5,102,1434,817
310,1,313,2,39,1506,466
1450,1,1397,4,152,1507,160
226,2,1398,1,29,1519,537
198,3,395,188,9,1572,931
1690,4,30,6,30,1573,695
1137,5,877,3,60,1575,1124
1821,6,636,175,119,1578,1076
1822,7,1399,1,161,1580,891
1641,8,1400,2,36,1584,14
2005,9,1389,11,112,1611,673
989,10,1401,8,278,1612,1013
2006,11,257,1761,113,1629,565
2007,12,1402,439,420,1632,1145
2008,13,1403,536,635,1633,623
1960,630,1404,276,115,1635,650
2009,620,848,795,116,1685,1051
1126,614,1405,409,32,1695,83
1721,585,1406,880,118,1751,535
1372,574,1394,305,121,1766,894
95,569,700,1118,3,1870,557
707,568,268,1190,3,1873,310
1963,567,79,811,7,1923,153
1623,566,700,363,3,1934,221
1034,565,51,857,1,1935,449
64,564,647,5,17,1936,850
2010,562,378,1527,1041,1937,160
296,560,648,758,28,1938,307
1761,558,985,108,46,1939,1166
965,556,409,7,2,1940,965
2011,555,345,10,13,1941,551
9,554,560,18,195,1942,85
1769,553,964,50,905,1943,946
1485,552,833,3,86,1944,746
877,549,44,1453,55,1945,822
180,548,144,66,16,1946,156
725,547,281,385,170,1947,961
277,546,32,9,182,1948,800
1696,542,239,507,1275,1949,877
1004,538,512,4,162,1950,526
1069,527,674,96,57,1951,1130
1393,513,500,171,172,1952,254
25,507,748,2,37,15,138
1430,503,268,6,18,41,602
1391,500,227,1,89,70,342
1229,499,30,797,46,81,1096
1274,498,320,707,293,82,994
807,496,47,29,376,169,221
376,495,841,2,60,183,515
346,494,217,98,53,222,512
853,493,846,844,34,237,915
1097,491,201,303,181,240,15
42,490,209,92,96,247,133
256,489,508,17,15,248,5
2012,487,697,360,144,261,579
2013,485,140,1004,4,266,779
1558,465,345,66,780,277,954
1840,461,851,1,40,288,353
1179,448,574,354,22,331,322
1438,442,727,464,176,338,521
194,441,279,108,4,372,1097
1688,440,862,1067,13,379,654
2014,438,511,536,36,409,8
522,430,614,26,140,428,783
910,428,82,75,1358,431,975
555,414,869,13,83,438,885
327,385,875,261,117,441,29
1759,384,876,300,131,468,1059
1487,378,877,117,33,469,401
1758,363,883,859,41,473,867
1978,358,885,97,1581,484,111
1742,341,865,118,1226,485,418
459,337,209,447,365,486,149
1008,308,225,219,264,489,546
1844,298,233,134,350,496,443
622,296,126,14,144,504,461
1704,289,244,252,251,510,299
1075,275,253,7,354,513,141
2015,273,261,356,356,515,192
1740,272,276,1322,199,534,297
1445,270,5,862,261,544,1020
905,235,284,65,154,556,1091
1283,205,291,1236,335,612,778
1983,204,296,341,475,618,354
1984,203,137,15,31,621,497
2016,202,311,740,36,623,39
1849,201,129,263,361,634,920
2017,195,326,1043,363,635,664
2018,192,335,379,954,637,27
50,191,345,1154,203,641,237
266,190,354,98,465,643,336
12,182,361,18,74,644,94
1370,181,368,842,2,646,628
1732,180,373,14,831,647,1125
1078,177,380,16,830,648,129
221,175,384,782,845,665,785
1,172,393,19,775,669,1439
38,170,404,116,174,712,964
177,169,412,107,415,732,242
312,159,420,30,1357,747,254
500,151,70,1,141,755,283
596,128,426,10,357,763,361
17,103,430,253,1373,764,70
695,94,435,20,136,768,475
855,74,17,5,330,782,59
220,51,444,201,625,784,638
26,17,450,13,659,811,516
916,14,95,126,297,817,210
564,12,456,265,92,819,1688
218,11,461,169,797,823,1192
999,10,467,392,813,826,1678
1231,8,479,267,228,833,1226
936,7,487,1118,719,835,599
1370,3,491,192,301,840,161
1004,2,490,2,140,842,708
1384,1,500,1160,867,848,416
526,2,179,139,166,851,591
1058,3,505,17,882,854,150
992,4,321,12,340,855,1582
437,5,374,137,47,856,186
1469,8,241,47,499,872,1179
248,15,515,51,307,876,1335
1929,16,524,1232,657,877,1937
1930,24,139,25,454,884,498
1931,81,243,3,509,902,129
1932,91,473,9,63,905,1119
1,171,445,552,522,910,525
399,172,114,11,809,938,568
460,175,300,18,168,942,510
19,183,511,355,394,1032,911
757,185,531,6,272,1034,347
1059,189,512,4,289,1036,165
992,196,538,154,2,1053,57
562,245,546,708,479,1069,847
517,297,555,19,459,1074,87
63,306,201,8,495,1081,276
1096,319,565,21,160,1100,558
1853,323,242,21,204,1113,37
1,328,475,2,124,1118,525
40,329,573,1,387,1120,276
233,330,286,40,314,1127,642
421,331,235,260,1282,1160,270
2,332,257,3,223,1205,1123
434,333,26,122,789,1209,130
14,349,574,511,260,1227,332
858,393,552,343,1269,1261,422
145,648,580,48,958,1311,195
459,656,584,69,500,1315,15
939,793,591,2,130,1336,1366
868,794,109,1,671,1343,98
870,795,422,366,115,1362,466
217,797,600,172,95,1363,322
472,798,605,14,229,1364,154
505,800,551,13,215,1366,310
561,801,348,157,202,1374,1372
32,804,611,111,294,1384,311
543,805,614,383,64,1387,1007
741,806,386,612,157,1397,592
20,809,560,46,502,1424,386
1071,810,451,68,15,1431,1128
991,934,625,80,43,1438,582
1161,937,634,287,1268,1440,1560
1026,938,639,10,854,1458,48
798,940,643,21,100,1468,214
408,989,649,65,103,1470,1246
516,993,658,1837,696,1506,438
809,1003,662,1681,38,1507,908
623,1005,556,75,299,1509,1104
319,1009,313,43,1064,1510,1413
354,1018,535,8,121,1565,1427
1122,1028,671,1106,1140,1575,808
1266,1036,651,1897,296,1576,813
124,1037,8,1108,395,1577,1029
169,1038,683,2037,188,1578,36
596,1042,690,1157,8,1610,379
518,1048,696,22,439,1612,130
688,1049,701,1107,1191,1638,1625
756,1080,707,76,97,1658,872
989,1082,711,1158,89,1693,1266
1243,1084,717,1769,331,1694,389
544,1087,350,2114,79,1709,467
683,1099,721,716,380,1754,1003
1230,1103,644,1922,416,1764,1233
1373,1104,724,1474,274,1843,204
668,1112,103,23,137,1874,62
736,1115,725,848,24,1891,641
69,1116,650,1770,127,1917,931
1058,1117,143,2134,297,1918,690
985,1120,702,696,400,1919,1302
935,1121,507,998,182,1920,483
851,1123,454,1053,187,1921,166
1317,1124,732,1752,689,1922,334
69,1139,128,1508,743,1923,1055
25,1141,557,1791,102,1924,730
69,1146,140,1761,292,1925,677
285,1151,1,999,1386,1926,552
19,1152,740,1065,1325,1927,754
38,1155,206,1939,341,1928,554
54,1156,220,993,134,1929,452
205,1157,749,1105,1,1930,1417
81,1161,372,1682,55,1931,578
27,1162,94,1749,696,1932,400
129,1163,541,92,14,159,42
233,1164,180,1947,1138,218,440
509,1187,98,1097,681,231,1000
328,1206,270,1568,295,277,905
582,1213,229,1840,190,279,5
589,1217,153,1841,193,308,87
61,1221,757,1008,196,353,1393
103,1222,152,1138,198,402,343
341,1225,635,847,282,405,346
763,1232,419,1019,18,472,122
771,1236,686,582,195,474,240
157,1238,183,894,206,475,1293
120,1241,188,1818,209,478,656
833,1242,755,939,1030,483,329
34,1249,558,1483,57,484,285
886,1261,494,1839,211,485,422
893,1269,266,807,8,486,1283
35,1275,626,1499,107,518,1428
904,1295,344,1654,323,521,1168
181,1299,622,1928,222,531,653
97,1302,287,1001,373,568,1430
921,1315,157,1,63,594,778
371,1316,249,2041,116,598,342
543,1320,383,1882,393,658,1367
966,1321,390,1679,213,706,826
979,1327,162,1876,108,754,265
751,1336,770,837,575,781,326
1003,1339,190,922,507,783,673
1014,1340,781,1760,217,786,515
569,1349,787,1064,241,816,539
1037,1350,681,1898,242,817,220
386,1351,164,1725,641,818,707
1059,1386,314,1782,428,925,1418
1070,1389,107,243,1188,946,1237
508,1403,773,700,46,980,565
186,1407,501,1929,49,1010,184
515,1467,793,1526,1116,1063,1259
306,1478,93,1475,110,1081,703
1147,1513,729,725,805,1097,672
511,1580,802,904,101,1120,434
575,1586,618,1813,7,1126,137
1150,1587,78,1007,264,1134,1220
1,1588,813,1762,475,1148,771
12,635,818,1464,69,1204,1559
79,633,616,1659,496,1206,1506
1077,618,449,1247,1040,1207,1496
965,480,237,1472,1173,1209,1487
925,396,434,1502,49,1213,978
1093,384,825,1822,1168,1260,541
81,364,508,1793,219,1265,65
590,363,211,2040,221,1283,1473
803,356,566,14,405,1295,186
827,166,121,1496,409,1302,206
333,22,268,843,144,1304,1668
1523,2,579,1324,124,1350,1585
913,1,723,1037,398,1358,222
1373,1,349,303,26,1407,1189
70,2,831,1305,224,1422,845
927,3,741,1935,956,1446,811
886,4,146,19,1027,1447,160
127,5,788,9,301,1449,344
929,6,763,1524,1029,1451,1577
845,7,842,316,580,1459,928
1175,488,132,1476,246,1515,1011
1100,412,288,3,212,1555,1456
978,2,104,1563,114,1669,336
1283,1399,836,77,172,1722,1039
1535,1400,355,755,370,1729,806
402,1401,852,1485,437,1768,152
1470,1402,861,6,419,1779,532
558,412,872,1748,605,1794,1092
548,3,752,12,66,1830,213
1709,1466,232,10,783,1842,153
352,451,160,1313,226,1852,765
839,4,293,1507,167,1853,1425
809,4,172,2,629,1861,613
948,5,879,1796,184,1869,170
682,6,112,1825,382,1877,531
1778,472,882,1663,129,1878,259
796,2,597,1817,137,1879,456
842,1,891,1455,231,1880,238
979,658,900,18,429,1881,208
282,654,184,16,234,1882,376
571,653,13,2034,238,1883,338
1078,647,254,1656,1200,1884,519
203,643,907,9,808,1885,423
1025,642,912,801,1290,1886,146
1288,641,919,1614,53,1887,713
677,640,927,418,149,1888,91
617,635,398,15,786,1889,10
2085,592,935,64,942,1890,163
512,587,940,2,576,1891,964
2086,576,9,20,128,1892,126
2001,536,753,1509,440,1893,98
756,515,268,4,203,1894,293
1231,496,690,1523,251,1895,413
1,486,327,1900,405,1896,1346
290,416,13,1391,28,1897,1249
558,383,501,1806,122,1898,70
1,366,85,1280,472,1899,440
495,336,1800,1924,40,1900,918
438,300,599,109,35,1901,631
88,291,1801,5,98,1902,1537
28,268,1781,858,15,1903,705
144,254,131,1768,36,1904,292
157,253,1769,1252,58,1905,393
163,252,534,1512,390,1906,1002
187,249,93,1834,197,1907,1914
270,198,879,12,144,1908,1428
278,197,1802,879,80,1909,2047
342,160,223,11,74,1910,1856
409,91,234,1080,21,1911,159
6,43,529,1484,1420,1912,36
665,45,1803,1779,7,1913,2000
696,51,422,1899,26,1914,410
14,52,84,1764,173,1915,1552
83,127,63,1556,108,13,1736
92,221,157,7,147,55,1551
951,296,1804,1833,56,106,866
958,390,53,50,273,152,1603
966,493,1805,2018,16,181,1560
18,498,1806,17,14,192,646
68,503,1807,13,13,206,78
1033,506,1379,827,279,275,1752
334,509,13,1,28,277,877
281,627,937,1580,1546,287,1619
774,679,496,3,325,290,1262
178,771,508,2,112,307,170
279,868,503,1,1374,326,539
1226,991,254,6,53,377,1431
449,1127,322,5,5,401,301
26,1131,395,1024,184,426,761
531,1137,485,2,19,443,1436
746,1182,500,3,26,446,412
724,1303,481,971,30,477,1070
1296,1314,990,7,49,479,2049
1059,1318,4,178,2,487,1557
1262,1320,1360,4,1110,492,1218
1311,1375,1800,341,337,517,726
1315,1421,1072,4,324,518,1951
1346,1567,1803,8,101,521,1424
1357,657,145,1,253,526,621
1037,656,525,5,12,554,1280
784,654,1373,373,71,580,1907
1079,651,1325,1170,47,587,1721
511,650,1804,833,288,590,704
1378,644,4,644,2,593,398
1386,642,286,4,66,609,1979
1393,641,578,1027,2049,620,669
271,630,21,393,310,632,1987
99,628,162,3,547,639,1068
1417,602,806,165,41,665,90
1437,574,125,932,222,695,994
1305,547,1804,18,335,705,95
1439,505,1805,9,161,709,1597
73,503,603,15,2020,730,872
1142,498,465,21,60,762,1345
1061,384,136,425,364,782,975
401,354,156,145,343,800,1332
858,341,1586,710,1486,852,895
1504,336,529,108,10,853,369
1509,303,177,14,424,870,642
1343,298,366,910,17,871,1827
460,99,151,1010,1572,873,275
81,91,58,983,87,875,1696
444,47,141,819,251,884,1419
307,50,544,1,64,900,1842
1255,64,1426,20,1839,924,34
1161,96,1275,7,370,1015,1497
1564,99,111,598,1149,1041,460
1568,107,1377,73,73,1042,45
162,168,44,1161,377,1043,129
532,296,43,711,888,1047,38
36,398,80,8,116,1050,1655
76,458,65,275,169,1051,627
1190,567,646,11,3,1052,23
1625,752,1806,981,219,1067,1160
133,794,249,185,181,1098,624
1634,875,294,376,269,1119,1873
1639,876,166,210,70,1125,921
1646,878,15,407,630,1127,263
1445,907,114,5,1044,1132,953
887,1090,1076,10,322,1135,1798
902,1116,68,686,508,1149,1429
266,1124,118,6,182,1171,1271
461,1136,497,214,16,1259,939
56,1159,306,2,2033,1300,1061
1667,1234,1004,41,160,1302,740
955,1303,561,311,41,1305,1857
1364,1355,3,114,1388,1311,64
1182,638,372,218,287,1360,1860
1684,602,1419,681,2028,1377,2067
1685,593,1807,7,103,1389,105
1352,587,287,303,504,1398,505
469,573,227,6,155,1421,1572
1361,551,37,309,24,1425,633
1696,534,444,3,308,1426,764
745,532,1442,54,11,1435,1275
1128,523,15,15,181,1445,1025
1342,445,842,231,43,1448,555
751,443,1446,507,17,1505,1372
1716,436,1211,284,10,1516,602
112,385,886,16,53,1519,1458
1647,368,855,57,50,1524,392
1223,367,846,143,91,1526,92
1721,337,806,312,15,1553,1926
1486,283,1379,277,349,1569,1366
654,275,861,20,55,1575,1776
170,267,810,749,595,1656,947
1736,252,1447,213,24,1665,2015
1739,234,872,153,38,1703,760
1743,229,1448,253,70,1751,87
1159,227,1449,145,441,1850,148
1747,226,1450,55,59,1865,1632
1749,212,1452,130,55,1866,1153
1751,162,878,279,114,1867,201
1757,153,649,301,1128,1868,1214
2008,100,157,778,376,1869,850
1,46,1198,979,19,1870,1069
147,38,882,9,32,1871,1266
983,153,1453,8,37,1872,616
274,174,1219,23,22,1873,1793
312,315,1454,4,46,1874,1732
343,398,848,907,133,1875,1652
1,416,1455,315,66,56,1069
447,420,1274,534,57,81,195
254,574,1228,1866,99,104,549
74,575,203,456,6,157,1152
16,849,1289,1543,97,190,1446
1049,905,977,248,804,191,1315
1015,1016,1246,5,141,229,291
900,1102,1456,106,123,230,1323
1145,1214,1457,10,130,231,57
28,1270,1237,18,8,236,655
1228,1280,1458,629,150,251,1544
26,1284,1459,135,111,274,599
1057,1292,1460,1,50,277,1451
1096,1299,1288,2,37,279,1370
463,1474,1294,17,30,306,1176
1429,1558,1272,1,137,307,608
1256,627,21,2,353,316,1966
1,569,1341,1,1215,325,927
770,533,561,3,391,338,223
668,480,270,1,27,400,532
553,444,209,2,885,406,1244
1,442,1461,199,14,425,841
78,428,65,1150,1111,445,67
165,414,18,122,10,453,142
86,381,4,1,275,472,891
94,149,255,538,1268,476,263
109,101,259,163,697,483,682
130,36,264,286,265,497,898
388,213,267,12,89,498,397
391,279,278,361,326,499,870
404,603,285,328,236,500,646
107,638,73,279,940,501,653
33,642,292,9,1335,519,417
23,695,299,23,654,524,100
522,824,89,125,347,525,117
128,879,307,165,733,529,181
302,1058,319,1076,253,591,1037
693,1061,330,1079,1074,592,79
136,1067,333,740,1161,593,243
704,1071,342,1011,42,596,942
740,1074,351,803,250,704,470
741,1077,148,9,144,752,393
413,1079,98,439,1232,779,422
724,1080,360,98,569,781,216
439,1087,170,177,700,813,614
855,1094,365,81,633,833,781
787,1097,15,48,947,837,976
882,1103,303,84,487,878,993
407,1106,371,6,392,906,959
201,1119,374,24,356,923,613
547,1154,244,397,425,978,374
1064,1173,381,462,207,1003,141
31,1192,385,278,708,1007,44
1107,1196,388,61,321,1044,356
1134,1199,395,20,83,1118,1177
274,1212,179,495,277,1134,266
1169,1219,397,5,314,1202,302
809,1255,402,11,769,1211,972
239,1492,349,2,831,1219,572
1000,1493,19,441,320,1252,588
233,1494,407,1,268,1263,1065
437,1495,415,491,91,1264,108
1222,1496,242,573,1151,1298,342
1223,1497,420,83,220,1299,849
25,1498,146,4,297,1301,1270
51,1499,2,3,304,1305,256
491,1500,425,10,769,1335,364
1061,1501,431,5,142,1348,792
1079,657,436,25,182,1444,894
436,655,248,7,401,1445,809
451,653,439,8,1309,1446,417
261,645,176,688,164,1447,466
800,640,444,596,436,1458,679
1292,635,118,1296,94,1460,14
560,596,451,2,441,1513,380
157,588,454,1,197,1525,934
597,586,460,2,1124,1540,916
1293,567,463,885,552,1542,166
1082,549,41,59,5,1544,1259
1311,547,1429,264,9,1545,787
834,545,102,374,872,1546,210
918,486,1454,3,5,1547,859
1338,479,66,880,12,1552,1022
1339,449,1455,15,1,1554,263
479,428,1456,839,1037,1578,107
1347,379,190,224,3,1661,300
794,358,1444,2,92,1664,513
344,355,1128,20,953,1666,443
1236,353,1274,971,435,1667,887
769,352,286,13,228,1669,457
816,308,671,128,1,1722,924
1137,286,297,60,31,1727,540
394,277,1070,61,65,1849,906
1404,241,449,417,52,1850,1106
1407,222,454,27,229,1851,711
19,211,457,3,255,1852,747
1257,210,462,28,260,1853,413
1007,186,465,12,299,1854,389
337,102,152,4,31,1855,1051
1366,63,470,1,49,1856,1235
329,65,228,10,155,1857,72
73,111,184,14,296,1858,883
1176,137,289,26,13,1859,312
1481,432,475,13,180,1860,561
1030,618,482,8,228,1861,772
417,675,495,5,1734,1862,506
1489,794,497,244,185,1863,162
1493,820,499,6,196,6,94
98,873,506,563,214,45,637
508,886,512,439,35,55,780
319,903,514,11,136,159,736
292,908,521,9,462,163,946
265,986,224,7,418,174,623
1621,987,255,2,102,184,788
937,1082,147,7,292,228,888
1639,1137,67,5,796,270,815
1215,1206,525,15,159,273,655
236,1265,181,244,323,275,966
759,1278,529,1,31,305,597
1375,1291,509,3,1994,399,723
701,1354,535,662,273,401,83
1047,1473,541,2,282,404,1171
779,663,221,4,101,405,1102
1312,661,547,1,221,429,320
1491,654,554,1,134,437,82
30,653,560,5,130,444,770
2038,652,562,2,81,450,153
173,646,568,41,64,471,635
26,642,571,3,546,475,138
575,618,576,857,94,481,348
472,606,193,20,1482,490,93
760,594,580,353,360,516,842
565,589,581,9,1908,517,106
799,567,588,245,8,524,360
84,557,591,673,5,528,1084
474,514,596,17,32,532,1108
115,509,599,23,145,586,1741
813,477,602,149,51,590,33
386,471,448,7,73,591,1383
648,429,607,860,294,595,1395
576,402,610,194,79,656,1712
47,382,618,19,39,703,1102
15,371,623,785,98,753,50
94,356,624,851,1821,754,1524
99,345,628,6,46,780,1325
46,309,631,195,186,783,1148
34,308,637,28,195,807,1267
699,232,430,18,90,815,1014
25,203,319,166,329,848,1340
767,199,247,51,1224,854,1677
768,103,243,69,102,890,278
79,6,641,208,209,895,290
942,43,647,396,1696,917,1700
65,354,648,3,281,973,415
97,393,652,80,288,994,283
165,425,659,24,508,1040,537
342,550,660,855,30,1044,721
419,552,665,644,822,1046,1108
437,568,672,81,114,1133,746
570,602,676,8,107,1175,372
657,617,685,400,93,1201,629
746,653,38,2,208,1204,432
880,675,691,5,74,1206,1114
257,695,694,1,67,1215,721
917,716,699,8,56,1218,860
164,718,702,4,87,1223,1236
922,723,705,585,90,1261,787
1046,869,250,16,112,1262,850
525,1098,61,957,25,1334,746
1094,1122,91,1,330,1354,926
249,1144,144,1885,2013,1404,631
766,1170,708,2,11,1444,773
1154,1244,709,609,193,1445,503
436,1281,711,5,661,1449,406
431,1294,714,6,96,1451,712
889,1315,716,6,19,1516,722
768,1353,719,3,22,1530,484
396,1546,720,4,71,1539,548
590,661,245,71,2080,1541,767
492,660,724,46,55,1649,644
201,659,726,40,40,1667,784
1297,658,730,50,309,1680,1227
515,657,498,52,1677,1719,228
424,656,732,70,92,1816,595
801,649,734,431,135,1819,1070
383,648,736,564,70,1820,968
1220,646,412,81,167,1821,647
193,644,739,1577,54,1822,515
2063,641,740,557,154,1823,765
1994,633,744,264,75,1824,357
239,631,746,84,157,1825,30
1821,620,749,1548,2066,1826,1158
1,607,41,73,278,1827,1414
60,587,754,1143,99,1828,188
316,510,756,248,106,1829,1320
1,503,761,371,111,1830,757
78,499,764,1265,2009,1831,258
101,491,769,91,120,1832,1749
244,430,772,51,124,1833,726
61,427,775,84,126,1834,511
53,420,781,1039,134,1835,101
457,403,784,256,133,1836,975
185,381,1344,254,3,1837,633
261,376,259,47,235,1838,1501
327,375,292,200,238,1839,43
557,374,1344,318,3,1840,1435
402,354,999,266,1924,1841,181
642,327,1341,355,13,1842,561
679,317,191,304,406,1843,281
717,314,1348,47,103,1844,1807
718,299,241,92,976,1845,677
748,204,196,906,316,1846,66
777,113,1341,330,13,1847,1219
792,96,104,194,113,9,333
793,20,30,307,288,41,1289
829,163,265,83,105,43,1030
533,316,1354,49,41,72,1488
529,364,140,66,159,85,1683
331,398,464,1028,45,196,256
762,399,236,270,108,203,8
1086,579,701,54,41,252,404
720,625,945,763,325,326,974
530,674,1356,22,61,393,152
999,870,798,43,208,479,1259
1201,871,10,201,77,480,517
1823,1073,821,471,1119,481,187
1765,1110,570,222,1,482,1511
38,1119,41,1494,50,483,964
96,1121,537,63,1620,527,287
278,1166,189,412,113,549,1006
313,1277,695,816,417,566,118
645,1284,778,1027,102,606,846
253,1297,804,990,76,710,822
182,1310,420,87,24,711,326
1047,1314,862,1612,111,767,894
462,633,611,128,2,768,681
774,537,415,26,112,777,260
582,487,654,323,416,800,692
399,484,285,1397,2,801,778
601,480,37,116,267,803,662
1007,418,595,508,134,816,386
1231,395,743,438,160,835,165
954,393,873,90,201,899,618
1408,233,876,257,248,1017,363
203,32,270,245,1124,1020,723
367,50,180,852,285,1055,926
515,55,408,92,156,1075,1116
530,107,445,1,41,1098,529
2037,187,245,85,51,1099,112
2038,201,34,27,197,1145,614
1198,203,239,227,91,1150,442
600,220,260,55,221,1191,29
2039,244,699,1,214,1231,12
1829,246,232,29,237,1265,1149
2040,248,726,1211,298,1320,103
1282,405,505,46,1983,1380,982
103,406,767,1493,302,1478,399
13,713,8,563,1547,1483,1164
443,841,243,34,1213,1499,1155
1335,925,459,506,36,1514,349
521,928,164,193,612,1524,1038
48,949,701,370,79,1580,1309
1402,1054,68,105,293,1763,1805
424,1063,43,86,1459,1764,81
1422,1067,411,272,9,1765,303
560,1070,885,1520,93,1766,1738
770,1073,892,278,23,1767,1058
511,1075,893,265,22,1768,318
1545,1076,63,868,785,1769,325
1028,1083,328,110,74,1770,871
1101,1090,269,88,50,1771,746
1268,1093,151,366,675,1772,226
1183,1094,207,253,265,1773,280
1454,1099,897,176,55,1774,957
784,1102,77,95,307,1775,1609
1206,1103,454,216,149,1776,1075
589,1136,900,183,151,1777,1527
1010,1137,216,1551,1505,1778,1001
33,1143,140,106,2002,1779,158
367,1147,782,7,108,1780,100
1659,1166,344,10,100,1781,256
51,1170,904,1328,69,1782,1124
385,1174,301,1040,526,1783,1485
1680,1179,747,468,317,1784,334
611,1183,57,360,14,1785,387
1337,1184,848,57,1638,1786,343
1726,1204,420,400,275,1787,1191
1094,1215,24,4,395,1788,467
1990,1219,655,1503,497,1789,897
1991,1220,170,327,1510,1790,274
1,1235,723,17,1136,1791,426
1992,1239,47,226,1639,1792,1758
1993,1247,910,1371,137,1793,1351
1874,1250,196,21,1,1794,604
1211,1254,386,747,130,1795,1094
545,1259,426,1007,101,1796,1048
1994,1310,914,67,99,1797,1533
1130,1487,902,23,124,1798,164
1106,1488,716,14,82,1799,146
1995,1489,923,3,1475,1800,614
1996,1490,46,5,1531,1801,441
1997,1491,775,471,172,1802,1806
1,1492,251,35,113,1803,1767
399,1493,333,252,34,1804,52
453,1494,614,1188,28,1805,346
487,1495,288,433,268,1806,1577
585,1496,925,243,31,1807,51
941,1497,929,28,34,1808,1607
673,1498,543,215,210,1809,1081
402,1499,173,465,280,1810,725
1241,1501,224,29,144,1811,1694
721,644,295,37,43,1812,1508
985,620,517,9,451,1813,73
61,619,308,441,83,1814,265
192,610,742,305,146,43,763
1382,603,382,1547,1451,53,1221
945,602,3,112,522,75,326
1832,599,416,16,163,125,795
1334,595,938,94,168,141,21
108,594,940,102,142,212,50
58,587,711,173,79,237,1270
253,540,944,572,116,238,804
54,539,69,32,847,239,1258
734,535,148,842,20,241,1253
2021,531,947,24,102,242,726
1045,530,375,11,1530,268,56
2022,523,949,1644,71,275,652
1542,501,952,20,139,396,52
1,476,955,38,44,443,762
30,474,17,190,1575,448,840
54,460,959,18,26,478,203
94,421,930,1018,234,514,678
405,373,342,238,567,528,398
6,343,572,60,105,550,630
507,273,404,30,136,584,1245
550,271,961,102,167,593,763
565,248,193,692,413,597,653
600,245,964,82,193,601,502
298,244,143,19,281,602,1090
93,240,1116,77,309,604,1148
403,237,305,771,61,623,701
726,235,300,1076,135,628,620
172,233,307,31,880,630,621
736,229,296,963,85,633,695
692,217,77,182,59,657,255
529,216,1128,170,152,659,391
742,195,1455,301,156,726,956
112,126,324,1194,174,758,321
823,121,292,410,735,796,137
840,87,297,1575,189,803,165
722,44,311,107,228,827,267
854,28,1025,514,1137,829,1124
31,44,626,1492,4,836,87
637,55,383,237,3,841,619
897,154,423,289,2,843,425
912,233,416,467,5,844,481
302,261,627,98,4,845,382
920,309,30,180,1,847,169
505,779,628,1053,1,851,1068
975,780,1140,1253,142,870,600
93,782,91,762,163,898,100
509,783,1171,648,47,899,506
988,786,1285,317,1965,913,925
573,818,1342,57,1350,945,35
1020,824,1179,322,32,970,348
51,882,1469,280,1845,971,33
990,884,107,843,1984,1025,633
630,1005,550,13,399,1042,568
1063,1010,549,69,223,1107,1119
1064,1012,553,56,129,1111,663
1014,1054,1236,93,1967,1112,558
569,1064,417,1580,161,1114,873
199,1080,803,460,84,1115,635
1092,1110,70,527,1114,1116,442
1098,1116,266,8,1000,1245,312
1102,1121,56,1341,707,1250,1188
1134,1127,31,676,1032,1330,572
1122,1128,23,192,7,1332,901
295,1139,30,461,960,1336,545
1144,1216,60,778,686,1357,981
1145,1252,139,202,1388,1358,170
1086,1303,178,24,89,1378,1157
1178,1304,182,6,159,1386,1129
19,1311,183,83,163,1387,1248
1196,1313,188,806,11,1418,837
87,1315,190,759,90,1463,1054
684,1316,195,36,64,1505,738
192,1409,199,203,35,1506,459
1213,1443,144,225,1649,1634,775
144,618,202,70,66,1679,643
236,617,206,2,1390,1688,615
472,610,209,82,71,1698,254
1270,609,213,805,1781,1726,692
1272,603,221,95,1293,1743,226
122,601,222,13,15,1744,724
70,595,227,181,236,1745,951
943,591,231,39,317,1746,882
568,588,233,12,21,1747,924
846,583,173,33,1357,1748,870
902,571,239,25,456,1749,941
1317,564,242,15,1568,1750,143
436,563,246,448,42,1751,621
1199,541,176,341,1384,1752,541
577,536,12,821,28,1753,720
1342,532,250,224,36,1754,287
1339,479,52,1555,205,1755,123
1360,475,254,10,1153,1756,623
360,465,261,646,22,1757,434
311,455,21,6,160,1758,945
340,452,265,10,1719,1759,236
1154,450,266,471,545,1760,309
389,421,191,11,78,1761,593
1376,373,39,12,210,18,863
440,335,269,14,137,122,263
169,289,271,4,45,124,492
456,284,276,7,229,225,206
